100,50,50,20,20,10,10,10,-25
100,100,50,50,20,20,0,0,-50
250,100,100,50,50,20,20,20,-75
250,250,100,100,100,0,0,0,-100
250,250,250,250,125,125,125,125,-250
500,250,250,250,100,100,50,50,-375
500,500,250,250,50,0,0,0,-500
750,500,250,100,50,20,10,-375,-625
1000,250,250,250,250,0,0,0,-750
1250,1000,1000,750,750,0,0,0,-875
1500,1000,500,500,100,0,-250,-500,-750
1000,1000,1000,1000,1000,1000,-1000,-1000,-1000
2250,1000,500,100,50,50,25,25,BUST
2500,1500,1500,1500,1000,1000,0,-1250,BUST
3000,2250,1500,1000,0,0,0,0,0
3750,2750,1750,750,75,-750,-1750,-2750,-3750
5000,4000,3000,2000,1000,0,-1000,-2000,BUST
5000,5000,5000,5000,5000,5000,-5000,-5000,-5000
6000,4000,2000,1000,500,200,100,0,BUST
15000,10000,5000,-750,-750,-1500,-2250,-2250,-3000
7500,5000,3500,1750,-1750,-3500,-5000,-7500,BUST
10000,5500,4500,2500,1500,750,500,250,BUST
12500,7500,5000,2500,1000,0,0,0,BUST
15000,12500,10000,8750,7500,6250,5000,-20000,BUST
25000,15000,10000,7500,-7500,-10000,-15000,-25000,BUST
25000,25000,25000,10000,5000,2500,1000,500,250
